Target_genes	CREBBP|Average	SRX359408|293	SRX359409|293	SRX359410|293	SRX359411|293	SRX660077|Adipose-Derived_Mesenchymal_Stem_Cells	SRX660078|Adipose-Derived_Mesenchymal_Stem_Cells	SRX2339191|B-Lymphocytes	SRX2339193|B-Lymphocytes	SRX017698|CD4-Positive_T-Lymphocytes	SRX100258|H3396	SRX100259|H3396	SRX100261|H3396	SRX100262|H3396	SRX100263|H3396	SRX100264|H3396	SRX3324957|IMR-90	SRX3324958|IMR-90	SRX3324959|IMR-90	SRX3324960|IMR-90	SRX015827|Jurkat_(Clone_E6-1)	SRX116429|K-562	SRX186770|K-562	SRX7214024|Keratinocytes	SRX7214025|Keratinocytes	SRX7214026|Keratinocytes	SRX7214027|Keratinocytes	SRX159188|LS-180	SRX159189|LS-180	SRX5839976|Macrophages	SRX5839977|Macrophages	SRX5839978|Macrophages	SRX5839979|Macrophages	SRX5162246|Placenta	SRX5162247|Placenta	SRX5162248|Placenta	SRX018277|T98G	SRX018280|T98G	SRX018281|T98G	STRING
WDR74	452.131579	252	228	456	0	87	95	1891	2118	162	0	0	0	0	0	0	479	379	307	195	961	650	634	600	654	576	764	549	612	1247	759	572	624	0	0	148	243	358	581	0
MTRNR2L2	405.631579	418	242	740	197	300	278	0	0	511	0	0	0	0	0	0	925	821	1674	2097	0	577	610	786	755	933	1081	0	0	284	178	92	125	439	307	225	85	205	529	0
MTRNR2L8	380.789474	738	575	990	252	463	231	0	0	434	0	185	0	0	0	0	892	603	1448	1583	200	547	553	537	544	646	671	0	0	219	255	0	0	388	250	200	166	228	672	0
CDK12	323.789474	308	351	207	0	1329	1268	3250	3465	1333	0	0	0	0	0	0	0	274	104	100	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
SNX16	273.815789	114	193	0	0	0	0	1155	887	182	0	476	804	677	308	198	0	0	0	315	0	208	229	927	605	625	477	0	184	552	373	366	283	129	0	138	0	0	0	0
PAXBP1	244.394737	551	546	141	0	0	0	328	173	418	120	762	1695	1513	987	731	0	200	0	213	254	0	0	0	0	0	0	152	396	0	0	0	0	0	0	0	0	0	107	0
SMG5	236.368421	430	618	321	0	735	543	2170	2999	786	0	0	0	0	0	0	0	93	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0
MTRNR2L9	231.368421	194	183	634	0	0	154	0	0	350	0	0	0	0	0	0	591	541	1039	1056	0	897	971	422	330	328	387	0	0	0	0	0	0	357	0	0	0	0	358	0
RPL27	226.868421	173	286	199	0	792	511	2254	3047	686	0	0	0	0	0	0	0	130	0	0	0	0	0	0	201	0	129	0	0	0	0	0	0	0	0	0	0	0	213	0
TFPT	226.421053	0	0	77	0	698	661	2526	2947	217	0	0	0	0	0	0	263	527	177	206	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0
PRPF31	226.421053	0	0	77	0	698	661	2526	2947	217	0	0	0	0	0	0	263	527	177	206	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0
ZBTB40	222.105263	298	210	113	0	848	554	2662	3244	269	0	0	0	0	0	0	0	133	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGEL1	214.657895	544	587	203	0	411	492	2291	3219	202	0	0	0	0	100	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RMND1	207.789474	303	260	124	0	557	523	2557	2995	298	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0
ARMT1	207.789474	303	260	124	0	557	523	2557	2995	298	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0
STK40	202.973684	280	266	0	0	496	461	190	247	143	0	0	0	0	0	0	60	183	0	0	90	0	0	1097	1440	761	1041	0	65	158	105	0	0	0	0	0	0	191	439	0
ZDHHC5	197.921053	280	338	0	0	461	408	2645	3056	207	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGPD2	197.868421	420	335	645	175	319	239	0	0	390	0	0	0	0	0	0	182	0	367	456	0	920	914	0	0	182	0	0	0	0	204	0	0	494	432	258	0	0	587	0
UBE2F	194.815789	235	175	0	0	435	370	2580	3132	311	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VMAC	189.368421	207	211	263	0	632	417	1951	2973	207	0	0	0	0	0	0	0	0	0	0	151	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA11	189.368421	207	211	263	0	632	417	1951	2973	207	0	0	0	0	0	0	0	0	0	0	151	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3E	177.447368	163	131	0	0	497	532	2177	2931	166	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INKA2	176.473684	388	431	181	0	369	208	1467	2367	130	0	0	0	0	0	0	0	200	0	0	317	0	0	262	154	105	127	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX20	176.473684	388	431	181	0	369	208	1467	2367	130	0	0	0	0	0	0	0	200	0	0	317	0	0	262	154	105	127	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS51	170.447368	319	528	210	0	244	291	1532	2182	389	0	0	0	0	0	0	101	422	0	114	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMP1	168.763158	894	930	655	0	193	128	552	1048	444	0	0	0	0	0	0	170	635	142	189	236	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS14	166.552632	233	325	143	0	363	289	1766	2573	321	0	0	0	0	0	0	0	157	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARS2	163.605263	150	154	149	0	378	300	1765	2922	0	0	0	0	0	0	0	107	0	197	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX7	159.894737	407	374	152	0	0	0	1967	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	331	141	223	0	0	164	0	0	0	0	0	0	0	0	0	0
SIRT6	159.236842	119	189	0	0	525	391	1853	2256	262	0	0	0	0	0	0	0	206	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD24	159.236842	119	189	0	0	525	391	1853	2256	262	0	0	0	0	0	0	0	206	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBB2	157.657895	0	0	0	0	0	0	0	0	0	198	947	1181	1404	1007	724	0	0	0	0	0	0	0	0	0	0	0	163	367	0	0	0	0	0	0	0	0	0	0	0
CD55	157.078947	205	300	0	0	0	0	142	137	312	0	0	0	0	0	0	0	0	0	0	130	0	0	1117	1557	571	1046	0	0	218	81	0	0	0	0	0	0	0	153	0
TMEM30A	155.736842	267	254	89	0	0	0	2200	2975	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSR3	155.236842	310	296	150	0	416	554	1721	2218	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0
TBC1D22A	153.921053	271	355	178	0	0	0	1588	1608	255	0	0	0	0	0	0	0	128	0	0	114	0	0	146	327	78	130	0	0	204	127	0	0	0	0	0	0	114	226	0
CHD1L	152.973684	497	665	220	0	383	268	1443	2097	119	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PISD	151.763158	0	136	174	0	0	0	1922	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	527	266	416	0	0	0	0	0	0	0	0	0	0	0	0	0
JUND	145.763158	939	777	0	0	0	0	119	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	931	980	720	759	0	0	0	0	0	0	0	0	0	0	0	215	0
KMT2A	144.184211	1621	1742	478	0	0	0	186	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	486	168	195	107	0	0	0	0	0	0	0	0	0	0	0	0
SLITRK3	140.973684	156	172	0	0	0	0	0	0	0	0	457	919	971	329	307	0	0	0	0	0	158	158	0	0	0	189	186	214	377	334	193	237	0	0	0	0	0	0	0
PA2G4	140.684211	157	250	95	0	0	0	1741	2737	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIB3	137.684211	86	141	0	0	233	141	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1045	898	1001	1269	0	0	0	0	0	0	0	0	0	0	0	328	0
RPS19	137.421053	568	631	135	0	130	0	1220	1801	438	0	0	0	0	0	0	0	0	0	0	177	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PICALM	137.289474	273	205	0	0	224	0	620	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	655	164	249	0	0	91	0	0	0	0	0	0	0	0	882	0
COPS7A	136.921053	208	151	146	0	365	380	1470	1914	216	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0
KLF3	136.394737	225	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190	1688	589	1124	0	0	0	0	0	0	0	0	0	0	0	0	0
